Dispozice,Energetická náročnost budovy,Kauce,Měsíční poplatky,Podlaží,Provize realitní kanceláře,Vybavený,Výměra,geo-lat,geo-lng,Balkón,Sklep,Pračka,Lednice,Myčka,Cenová skupina,Výměrová skupina
4,6,0,0,14,1,1,120,50.08517,14.421489999999999,0,0,0,0,0,5,7
14,5,0,30000,8,1,1,1267,49.78464,13.28755,0,0,0,0,0,5,18
7,1,0,0,13,0,2,130,49.19508,16.59385,1,0,0,0,0,5,7
5,6,0,0,12,0,2,105,50.073159999999994,14.40969,0,0,0,0,0,5,6
14,6,0,0,8,1,1,159,49.968759999999996,14.39359,1,0,0,0,0,5,9
4,6,0,0,11,1,2,106,50.09967,14.433010000000001,0,0,0,0,0,5,6
14,2,0,4000,18,1,0,140,49.89821,14.49611,0,0,0,0,0,5,8
14,6,0,0,8,1,1,232,50.10449000000001,13.733929999999999,0,0,0,0,0,5,11
5,6,0,0,11,1,1,106,50.07143,14.43815,0,0,0,0,0,5,6
5,6,0,0,13,0,1,69,50.068659999999994,14.401620000000001,1,0,0,0,0,5,4
4,6,0,3800,8,1,2,100,50.08025,14.419839999999999,0,0,0,0,0,5,6
7,6,0,0,11,1,2,131,50.08599,14.404179999999998,0,0,0,0,0,5,7
4,6,0,0,16,1,2,70,49.20508,16.55442,0,0,0,0,0,5,4
5,6,0,5000,12,1,1,89,50.05634000000001,14.380989999999999,1,0,0,0,0,5,5
7,3,0,0,0,1,2,163,50.034459999999996,14.42155,0,0,0,0,0,5,9
6,6,0,0,8,1,2,133,50.077490000000004,14.40121,0,0,0,0,0,5,7
4,6,0,0,8,1,1,103,50.077909999999996,14.441729999999998,0,0,0,0,0,5,6
2,6,0,0,11,1,1,68,50.089859999999994,14.42866,0,0,0,0,0,5,4
5,6,0,0,13,1,1,69,50.089859999999994,14.42866,1,0,0,0,0,5,4
2,6,0,0,8,1,1,64,50.089859999999994,14.42866,0,0,0,0,0,5,3
5,1,0,0,12,0,2,81,50.11264,14.390720000000002,0,0,0,0,0,5,4
4,3,0,0,0,1,2,103,50.077909999999996,14.441729999999998,0,0,0,0,0,5,6
5,6,0,0,8,1,0,85,50.05095,14.36382,0,0,0,0,0,5,5
5,6,0,3800,13,1,1,56,50.06653,14.42252,1,0,0,0,0,5,3
5,6,0,0,8,1,1,100,50.12104,14.411270000000002,0,0,0,0,0,5,6
4,6,0,0,12,0,2,106,50.07533,14.424539999999999,0,0,0,0,0,5,6
3,3,0,0,13,1,1,105,50.05782,14.42172,0,0,0,0,0,5,6
6,2,0,0,4,1,2,127,50.050129999999996,14.33705,0,0,0,0,0,5,7
4,6,0,5000,8,1,1,85,50.06504,14.42852,0,0,0,0,0,5,5
5,6,0,0,12,1,2,105,50.073159999999994,14.40969,0,0,0,0,0,5,6
5,6,0,0,11,1,2,105,50.10394,14.40896,0,0,0,0,0,5,6
3,6,0,0,12,1,0,131,50.07886,14.4254,0,0,0,0,0,5,7
2,6,0,0,11,1,1,81,50.08805,14.426870000000001,0,0,0,0,0,5,4
3,6,0,0,11,0,2,80,50.08597,14.43578,0,0,0,0,0,5,4
4,6,0,0,11,1,1,103,50.07805,14.4412,0,0,0,0,0,5,6
4,6,0,0,11,1,1,100,50.08185,14.4192,0,0,0,0,0,5,6
4,6,0,0,8,1,1,103,50.07768,14.441720000000002,0,0,0,0,0,5,6
5,6,0,4000,14,1,1,95,50.08266,14.4504,0,0,0,0,0,5,5
2,6,0,0,11,1,2,90,50.08597,14.43578,0,0,0,0,0,5,5
4,6,0,0,11,1,1,100,50.07294,14.430129999999998,0,0,0,0,0,5,6
5,6,0,0,12,1,2,99,50.0805,14.4197,0,0,0,0,0,5,6
4,6,0,6000,12,1,1,100,50.07786,14.42675,0,0,0,0,0,5,6
5,6,0,5000,13,1,1,80,50.07403,14.44081,0,0,0,0,0,5,4
7,6,0,0,13,1,2,95,50.10048,14.42235,0,0,0,0,0,5,5
14,6,0,0,11,1,0,400,50.13325,14.27302,1,0,0,0,0,5,13
5,2,0,0,8,1,2,69,50.08984,14.4287,0,0,0,0,0,5,4
5,0,0,0,8,1,2,109,50.07859000000001,14.423010000000001,0,0,0,0,0,5,6
5,2,0,0,13,1,1,69,50.06201,14.402070000000002,1,0,0,0,0,5,4
5,6,0,0,12,1,2,103,50.07306,14.393189999999999,1,0,0,0,0,5,6
3,6,0,0,13,1,2,66,50.09093,14.42826,0,0,0,0,0,5,3
3,6,0,0,12,1,2,65,50.09093,14.42826,0,0,0,0,0,5,3
6,4,0,0,13,1,2,160,50.08305,14.369729999999999,0,0,0,0,0,5,9
6,2,0,0,11,1,2,127,50.09783,14.38544,0,0,0,0,0,5,7
6,6,0,0,11,1,2,118,50.07859000000001,14.423010000000001,1,0,0,0,0,5,7
4,6,0,0,11,1,2,80,50.08468,14.42261,0,0,0,0,0,5,4
2,6,0,0,12,1,2,113,50.07557,14.449620000000001,1,0,0,0,0,5,6
7,6,0,0,11,1,2,105,50.07539000000001,14.423010000000001,0,0,0,0,0,5,6
5,6,0,0,8,1,2,84,50.07804,14.405999999999999,1,0,0,0,0,5,5
4,6,0,2300,12,1,1,104,50.07748,14.41885,0,0,0,0,0,5,6
8,6,0,0,11,1,2,164,50.09632,14.342379999999999,0,0,0,0,0,5,9
1,6,0,0,7,1,1,80,50.07768,14.45965,1,0,0,0,0,5,4
6,6,0,0,16,1,2,127,50.05019,14.3391,0,0,0,0,0,5,7
12,6,0,0,13,0,2,140,50.072559999999996,14.41017,0,0,0,0,0,5,8
5,6,0,0,11,1,1,110,50.099470000000004,14.3552,0,0,0,0,0,5,6
5,6,0,0,8,1,2,85,50.077709999999996,14.447389999999999,0,0,0,0,0,5,5
2,6,0,0,0,1,1,52,50.09106,14.42036,0,0,0,0,0,5,2
7,6,0,0,11,1,0,130,50.09787,14.38478,0,0,0,0,0,5,7
6,6,0,0,12,1,1,195,50.08517,14.418989999999999,0,0,0,0,0,5,10
3,6,0,0,12,1,1,68,50.09089,14.42849,0,0,0,0,0,5,4
5,6,0,0,3,1,1,88,50.01993,14.4536,0,0,0,0,0,5,5
14,3,0,0,8,1,2,180,50.21949,15.85385,0,0,0,0,0,5,9
14,2,0,0,8,1,2,183,50.00725,14.381479999999998,0,0,0,0,0,5,9
3,6,0,0,12,1,1,75,50.0903,14.419960000000001,0,0,0,0,0,5,4
14,1,0,0,8,1,0,150,50.06317,14.164229999999998,0,0,0,0,0,5,8
3,6,0,0,8,1,1,66,50.0907,14.42811,1,0,0,0,0,5,3
3,6,0,0,8,1,2,51,50.07837,14.44483,0,0,0,0,0,5,2
5,6,0,0,13,0,1,103,50.072959999999995,14.443729999999999,0,0,0,0,0,5,6
12,6,0,0,13,1,2,115,50.05471,14.40524,0,0,0,0,0,5,7
