Cena,Další vybavení,Dispozice,Druh,Energetická náročnost budovy,K nastěhování,Kauce,Měsíční poplatky,Podlaží,Poznámka,Pronájem přidán,Provize realitní kanceláře,Vybavený,Výměra,data-id,data-idx,geo-lat,geo-lng,id
21 000 Kč/měsíc,Balkón,3+kk,Pronájem,C - Úsporná,,,,4. patro, 5500 Kč poplatky,před 17 dny,Info u RK,Částečně,89 m2,3043040,6,50.05122,14.34437,#offer-6
23 000 Kč/měsíc,Sklep,2+kk,Pronájem,B - Velmi úsporná,,,,6. patro, + poplatky,před 17 dny,Info u RK,Úplně,49 m2,2929857,7,50.10877,14.4574,#offer-7
21 000 Kč/měsíc,"Sklep, Balkón",2+kk,Pronájem,C - Úsporná,,,,4. patro," bez poplatků, neplatíte provizi RK",před 17 dny,Info u RK,Úplně,66 m2,2821356,8,50.09904,14.35576,#offer-8
22 000 Kč/měsíc,"Sklep, Balkón",2+kk,Pronájem,C - Úsporná,,,,3. patro," +6000,-Kč (energie, služby, fitness, recepce, internet) celkem 28.000,-",před 19 dny,Info u RK,Částečně,52 m2,1144927,9,50.04874,14.42936,#offer-9
24 000 Kč/měsíc,,2+kk,Pronájem,G - (neuvedeno),,,,1. patro," + poplatky 4.500,-+ el.",před dnem,Info u RK,Úplně,77 m2,3072683,10,50.07838,14.43879,#offer-10
22 500 Kč/měsíc,,2+kk,Pronájem,G - (neuvedeno),,,,4. patro," +4000 Kč služby +30000 kauce, + provize RK",před dnem,Info u RK,Částečně,70 m2,3070146,11,50.05706,14.46999,#offer-11
22 000 Kč/měsíc,Sklep,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro," + 3500,- poplatky",před 15 dny,Info u RK,Částečně,88 m2,3063542,12,50.12252,14.46471,#offer-12
25 000 Kč/měsíc,,4+kk,Pronájem,G - Mimořádně nehospodárná,,,,8. patro,,před 21 dny,Ano,Částečně,181 m2,3060677,13,49.20058,16.61401,#offer-13
25 000 Kč/měsíc,,dům,Pronájem,G - Mimořádně nehospodárná,,,5 000 Kč/měsíc,Přízemí,,před 24 dny,Info u RK,Vůbec,135 m2,3058468,14,50.12768,14.64999,#offer-14
24 200 Kč/měsíc,,1+kk,Pronájem,B - Velmi úsporná,,,,4. patro, + 2000 Kč/měsíc zálohy na energie,před 23 dny,Info u RK,Úplně,40 m2,3047861,15,50.06679000000001,14.423470000000002,#offer-15
